,bincenter_h,bincenter_d,alpha,beta,conv_b,alpha1,beta1,alpha2,beta2,p,conv_mb,mu,sigma,p_cs
0,1000.0,0,0.7015798197890786,3.2080797544320063,True,3.7625670674602723,55.857067822605195,0.7720789022012724,1.6138091875811564,0.6321470293492262,True,0.5342423085894844,0.735654919735183,0.15615015974440893
1,6000.0,0,1.073610617027669,1.5756608492937105,True,1.1201529128128533,2.0934860074893007,57.53653645311351,15.807687455519682,0.8588167402534496,True,0.4306679966391522,0.6670274874625879,0.0738255033557047
2,9000.0,0,1.2174964153588568,1.24273731967354,True,9.947051560656462,4.419693724566789,0.8176500109548699,1.975574473987075,0.5888915554697802,True,0.372795916247495,0.6506512801407766,0.05889014722536806
3,12000.0,0,3.3844861770999772,1.7497563898835555,True,63.94704553220717,19.92850039901137,1.1455716785825185,1.7205976499136615,0.7928193879352352,True,0.3358228647742765,0.593616439035702,0.03074634267294818
4,1000.0,1,1.0712538462881396,9.57915562568579,True,4.909289460612577,77.1639299693093,0.6494938899294961,2.1572983842681652,0.811483486137329,True,1.1769096334851856,0.7381807417682019,0.12372773536895675
5,6000.0,1,1.5470109981858065,2.3936823872639987,True,1.5470147661385178,2.3936678523212747,,,1.0,True,1.1121938188920837,0.6969851901201,0.023923444976076555
6,9000.0,1,1.8432755995512764,1.8703575392420482,True,7.157812535045812,4.780119665156127,0.8605532071742322,2.7325223588436605,0.7795287950533348,True,1.0858490228114825,0.6812573254293786,0.02611625947767481
7,12000.0,1,6.557502825524184,2.9157151893075106,True,75.8091522260406,25.273837746549376,1.5072162315902016,1.877576340181626,0.8593084771415367,True,1.0402648538318195,0.6257246899833045,0.008503679476696648
8,1000.0,2,1.6789540415642317,18.004165314070104,True,9.74776256772162,149.46197619757345,0.7723444555576892,3.7146465053625577,0.8128096899032178,True,1.7322992935760697,0.8174657325132952,0.057149689143950265
9,6000.0,2,4.0057580192304725,6.023055174418276,True,5.224095967373126,8.623008359561425,39.800082851115334,13.767460622130004,0.9457373904407301,True,1.9488500487829343,0.6975853807994221,0.004415011037527594
10,9000.0,2,4.108908883984912,3.558490356376201,True,13.185105214489415,9.313837173173624,1.2116439497797642,2.4135450525088866,0.8462611105801767,True,1.9263028781517,0.7455672526291132,0.004914004914004914
11,12000.0,2,18.63546158679019,7.1427914923423454,True,152.06474906999375,51.09136014951768,3.371870216931022,2.654164778663766,0.8848079968743762,True,1.9047277703259156,0.6222220306688855,0.0021953896816684962
12,1000.0,3,2.002544924299479,21.94668945885308,True,14.030871430477562,206.62844103378836,0.842791214591497,4.775796071267489,0.7936040193311796,True,2.2516168199500637,0.906203362087721,0.014367816091954023
13,6000.0,3,6.90347383659461,10.561669647427149,True,239.4266973445853,399.5937163290614,3.6111505556478374,5.065004913806008,0.5317422998886809,True,2.7942925035178234,0.7194352012142817,0.0
14,9000.0,3,10.57711387800709,8.653558074313814,True,86.62124958929499,67.30959908144158,5.327894016619102,4.597957621280674,0.533349689401367,True,2.83355449496169,0.7263545764079202,0.0
15,12000.0,3,40.73251951555015,14.569908588436334,True,227.56502960579624,77.02388405428376,4.494495981129935,2.6282154116646503,0.9199323695199997,True,2.934024468417406,0.5982839637361697,0.0005367686527106817
