,bincenter_h,bincenter_d,alpha,beta,conv_b,alpha1,beta1,alpha2,beta2,p,conv_mb,mu,sigma,p_cs
0,500.0,0,0.452698051730004,2.831533914859288,True,1.997046674893432,71.20616642078355,0.8638343646517667,1.5463539730257863,0.7366189924418192,True,0.4373156080516309,0.5484623278261135,0.1747936822599065
1,4500.0,0,1.0946692232360737,1.9273625521525122,True,1.0946894177605586,1.9273758852469656,,,1.0,True,0.39442686086414197,0.6290899654368006,0.06749226006191951
2,8500.0,0,1.319490060217368,1.41371581441284,True,6.578972194678528,3.601192766033944,0.8598751222568146,2.1522928816700895,0.61913395758534,True,0.3522952089686623,0.6105199279515834,0.051969823973176864
3,12500.0,0,7.154352325595033,2.6874880848375784,True,145.2349574846022,39.39434855638536,1.7094716951615405,1.695041232733515,0.8511563978143506,True,0.2686741818621882,0.5041349273858361,0.022375582512183842
4,500.0,1,0.6062870926356443,9.48631471828066,True,2.0402156776306613,85.01473750139942,0.7217928322712379,1.8529670821398385,0.8993114765128458,True,1.0148228651698548,0.5057928993162961,0.12189773451274985
5,4500.0,1,1.4880410145855825,2.9818536310680304,True,1.7557948238007226,4.0959038042538545,51.21565362904099,14.899454981971614,0.9365675252038193,True,1.0802802581319788,0.6562104379783328,0.021582049819357293
6,8500.0,1,1.791764066084156,1.865257596828065,True,6.322803725891749,4.338296484999482,0.8810856509283567,2.638831925321263,0.7630334778933054,True,1.0646312575456218,0.6558769960548338,0.023577042152893544
7,12500.0,1,11.844207970392855,4.0670066498541155,True,162.2688981434896,45.29641113265485,1.853115045519095,1.7495025574767373,0.8874528448945276,True,0.9605423567040069,0.5160526241470633,0.005913399099173782
8,500.0,2,0.8256529915773534,14.038034738960864,True,2.244764226267257,68.84770252201199,0.6709236869683988,1.8809651246285881,0.9221197077866075,True,1.628514605361917,0.6565079160186712,0.05614244741873805
9,4500.0,2,2.9238055282997673,6.328251846776445,True,4.696366669594282,11.97841160205249,17.890015256592406,7.938442137496468,0.9284770527933701,True,1.884446273496814,0.6794784539591603,0.0038512323943661973
10,8500.0,2,4.069811392783295,3.781363017354861,True,10.68386563849927,8.343789141157252,1.3244070310580125,2.2680030613653774,0.8201925338405924,True,1.9232439204862477,0.6927968793926382,0.003543307086614173
11,12500.0,2,16.993200190055894,5.709109929503969,True,183.9009928763673,53.156043181143424,2.4675403752449663,2.053144521086223,0.9085637323472766,True,1.7821285967213618,0.6040140199171036,0.0013008220088013063
12,500.0,3,0.9587616300342324,14.762187237956402,True,2.633279379215846,66.680670485376,0.5357880306543865,1.9688528947922972,0.9014126196965524,True,2.387187395492432,0.8070522084694534,0.016853932584269662
13,4500.0,3,4.499233885975311,9.961353835541562,True,46.51803247093311,118.60039974419199,2.0831730532848156,3.7363637115276402,0.6509829985339897,True,2.7151730425590683,0.7098877035180321,0.0007053844345168116
14,8500.0,3,8.273812880420676,7.289017913601693,True,88.36969086667962,75.69026126153477,4.090970155826787,3.710504448569308,0.5386072993477866,True,2.784032649362795,0.6566647233573343,0.0
15,12500.0,3,26.02298863660242,8.441633964461573,True,221.12765758346094,65.07362147720555,3.0230647876331864,2.111936803844422,0.9289189683457353,True,2.809432204744385,0.6363411081599709,0.0002044153720359771
