,0
alpha,0.362178859705635
beta,1.5329558189640924
alpha1,1.0071881938989697
beta1,33.44360184770832
alpha2,1.2919830678987196
beta2,1.2593586510908694
p,0.7238151830470299
mu,0.5811598298907072
sigma,0.647581237493932
conv_b,True
conv_mb,True
