,bincenter_h,bincenter_d,alpha,beta,conv_b,alpha1,beta1,alpha2,beta2,p,conv_mb,mu,sigma
0,1000.0,0,0.652303408405242,2.632243087852742,True,3.3937427236192717,46.446542614268395,0.7243502191969222,1.2726145665038868,0.6509769654957491,True,0.5240329673113111,0.722186964124458
1,6000.0,0,1.0406614331747739,1.2953761319119168,True,1.040632643376377,1.2953520409947314,,,1.0,True,0.41837922183277854,0.6812150167691425
2,9000.0,0,1.240029711595985,1.1034893269398418,True,7.043826685341228,2.700982741554928,0.8682253558849435,1.7170555660265654,0.5744553300367594,True,0.3931337546051985,0.6827732700307845
3,12000.0,0,3.346579279758509,1.3806258399899471,True,48.92307028494578,11.103413502002757,1.15186449731188,1.4425262316553762,0.7916163706375268,True,0.33102627063144885,0.5956833853591242
4,1000.0,1,0.9614594783360195,7.837351810296866,True,4.031357688052919,60.86621854249233,0.6149204012945595,1.7789812095129882,0.8152772630569405,True,1.174366590204144,0.7195390715452917
5,6000.0,1,1.476013144966724,2.085860638333675,True,1.4760251149035897,2.0858526167564984,,,1.0,True,1.0813129067302103,0.7041447931554213
6,9000.0,1,1.8708671476370156,1.5752236319026554,True,6.292527324748081,3.402057974789317,0.9041238377872307,2.217985793502749,0.7706800588069658,True,1.0993152632710916,0.7160552523594856
7,12000.0,1,5.842813491262996,2.1030907250643773,True,61.21499003256222,15.245912915491816,1.3911285430111953,1.514080127306137,0.8533954428608078,True,1.0317505225111432,0.6166208268995066
8,1000.0,2,1.501656149277776,14.484869967895406,True,6.994532394138911,97.82340215072405,0.6688501221529858,2.4198104885757807,0.8551636717053066,True,1.7151761245638928,0.796917884483364
9,6000.0,2,3.9844143386981603,5.345042263339984,True,5.997916453160208,9.098618068360503,27.449506104289743,7.569703993845409,0.9336278573888446,True,1.9332636745778675,0.6745949282190433
10,9000.0,2,4.084371841554436,3.057790023279515,True,12.861907584539246,7.83088318355364,1.1998132574903664,1.7631480506270318,0.82447447866864,True,1.9343495460000295,0.737435043563578
11,12000.0,2,16.117153535408598,4.820230546564308,True,115.8876566662017,29.363120345644024,2.821269626958621,1.8850390050482355,0.8835864939188165,True,1.9044077671186048,0.6201592468115199
12,1000.0,3,1.8506050993259255,18.34419315761626,True,10.078785682912649,132.59401814033055,0.7190890049101746,3.5055348169920713,0.8197963853342134,True,2.256794133882111,0.9131364231341673
13,6000.0,3,6.018208976375975,8.393750848191218,True,9.96201444682416,15.333321649791412,26.584700010820086,9.297495654047694,0.940098826781066,True,2.7683768587058784,0.7425845262848871
14,9000.0,3,8.029145165852611,5.6606920995498005,True,51.67620711105826,33.43545398183184,3.666460388676594,2.874298337955123,0.5906309074937061,True,2.819672840832909,0.7382531953680829
15,12000.0,3,34.87698725008816,9.57464878197286,True,163.6051480068146,41.9440720435707,3.6895211697783714,1.8168942447181158,0.923347059629209,True,2.9358558844541296,0.5874351473418311
