,Unnamed: 0,h_t,d_t,cloud,ISCCP,h_t_next,d_t_next,cloud_next,ISCCP_next,dh,dd,bincenter_h,bincenter_d
20867,20867,965.6132504979452,0.1470401851270553,cloud,2.0,2742.924017914629,1.0527251605383772,cloud,3.0,1777.310767416684,0.9056849754113219,1000.0,0
22067,22067,1118.0415905410257,-0.0803742733292796,cloud,2.0,6439.98185681123,0.8604407596659251,cloud,3.0,5321.940266270204,0.9408150329952047,1000.0,0
23742,23742,861.1628264092183,0.0654065069948295,cloud,2.0,288.02117804536795,0.3274131219622269,cloud,2.0,-573.1416483638503,0.2620066149673974,1000.0,0
24692,24692,885.1983680396038,0.0366465660104715,cloud,2.0,4896.743967391009,1.1075172168301806,cloud,3.0,4011.5455993514056,1.070870650819709,1000.0,0
24817,24817,949.7451277503536,0.0177764233485512,cloud,2.0,3836.737150955351,0.4278730178764358,cloud,3.0,2886.992023204997,0.4100965945278846,1000.0,0
25469,25469,1080.2068950295632,-0.0405603049183827,cloud,2.0,2407.9745573760883,0.1551899798808259,cloud,3.0,1327.7676623465252,0.19575028479920858,1000.0,0
25602,25602,892.7378577168622,-0.0609316557677943,cloud,2.0,919.3629916753708,-0.5171494594959485,cloud,2.0,26.625133958508627,-0.4562178037281542,1000.0,0
26460,26460,863.0862445789521,-0.0696931052207969,cloud,2.0,1126.918181400379,1.8199783460086527,cloud,5.0,263.8319368214268,1.8896714512294497,1000.0,0
27222,27222,1092.0246705672428,-0.0310625787725,cloud,2.0,478.1381790928008,0.6307116084560449,cloud,2.0,-613.886491474442,0.6617741872285449,1000.0,0
27540,27540,911.1259575696972,-0.0893691278574105,cloud,2.0,1988.32959145424,0.5120705875638041,cloud,2.0,1077.2036338845428,0.6014397154212145,1000.0,0
28319,28319,1092.321069809591,0.0955943750126461,cloud,2.0,834.1974984434388,-0.3040445867676254,cloud,2.0,-258.1235713661523,-0.39963896178027153,1000.0,0
28560,28560,1047.4722927560235,-0.0890141307186972,cloud,2.0,12684.352481290409,0.0029209050323532,cloud,4.0,11636.880188534386,0.0919350357510504,1000.0,0
28579,28579,866.2884327109647,-0.0186501666905359,cloud,2.0,1404.0554723940163,1.0312987175598998,cloud,2.0,537.7670396830516,1.0499488842504356,1000.0,0
29038,29038,1102.051941496633,-0.0529835471497035,cloud,2.0,781.0460589879605,-0.1252581482491799,cloud,2.0,-321.00588250867247,-0.07227460109947642,1000.0,0
29052,29052,900.8029005555524,0.063955656376454,cloud,2.0,810.9992322759282,1.0811734416135717,cloud,2.0,-89.80366827962416,1.0172177852371176,1000.0,0
29234,29234,856.0708327971912,0.1367128689495126,cloud,2.0,382.6978284778597,1.4990875943320634,cloud,5.0,-473.3730043193315,1.3623747253825509,1000.0,0
29378,29378,860.4090927411521,0.0035304563137371,cloud,2.0,5080.288239373075,0.7663580903987841,cloud,3.0,4219.8791466319235,0.7628276340850471,1000.0,0
29688,29688,1112.8882982034231,0.0834066619925952,cloud,2.0,560.0151129402112,-0.765406806397989,cloud,2.0,-552.8731852632119,-0.8488134683905841,1000.0,0
29828,29828,864.2202406040583,0.1058519618266209,cloud,2.0,536.1828195522818,-0.6300942701932942,cloud,2.0,-328.0374210517765,-0.7359462320199152,1000.0,0
31026,31026,929.1053768834188,0.0108781006494063,cloud,2.0,656.3454624332654,0.2072880784577732,cloud,2.0,-272.75991445015336,0.1964099778083669,1000.0,0
32613,32613,1140.0320410044878,-0.060220560693729,cloud,2.0,3193.123217481456,-0.5074058822520415,cloud,3.0,2053.091176476968,-0.44718532155831253,1000.0,0
33111,33111,983.6937537317044,-0.0069586728454292,cloud,2.0,13474.362370724277,0.646341082661067,cloud,4.0,12490.668616992572,0.6532997555064962,1000.0,0
34436,34436,1060.9240278008735,0.0564692520446417,cloud,2.0,5399.7304030134965,1.2717263206569198,cloud,3.0,4338.806375212623,1.2152570686122781,1000.0,0
35087,35087,1030.444347744296,0.129573804281368,cloud,2.0,364.7987979844536,-0.5265032573219185,cloud,2.0,-665.6455497598424,-0.6560770616032865,1000.0,0
35390,35390,905.4265452686092,-0.1014389923901861,cloud,2.0,908.6930192503944,0.4260879507426043,cloud,2.0,3.266473981785225,0.5275269431327904,1000.0,0
35740,35740,976.4633227038112,0.1402095711080633,cloud,2.0,8321.477009001715,0.6839465141346056,cloud,4.0,7345.013686297904,0.5437369430265423,1000.0,0
36063,36063,909.8946416626998,-0.0565944482564489,cloud,2.0,6330.879954979532,1.4906068914489947,cloud,6.0,5420.985313316833,1.5472013397054436,1000.0,0
