,bincenter_h,bincenter_d,alpha,beta,conv_b,alpha1,beta1,alpha2,beta2,p,conv_mb,mu,sigma,p_cs
0,1000.0,0,0.7039196373984021,3.2180279468405235,True,3.7198022167595033,55.28704830259097,0.7874729574257975,1.6288062420835319,0.6346559129147479,True,0.5342423085894844,0.735654919735183,0.15615015974440893
1,6000.0,0,1.0832861335810993,1.5864032117349607,True,1.1331230738657245,2.1166870227622354,57.346304140337985,15.754469033666378,0.858109275483526,True,0.4306679966391522,0.6670274874625879,0.0738255033557047
2,9000.0,0,1.230826619808152,1.2521954866623273,True,10.089454803021844,4.459531489837898,0.8349085186936249,2.0010004186902925,0.5858998469255325,True,0.372795916247495,0.6506512801407766,0.05889014722536806
3,12000.0,0,3.4314337224389035,1.7681769013471456,True,64.0512704727438,19.957091311520742,1.1687248456350194,1.7455633713149905,0.7925102341988943,True,0.3358228647742765,0.593616439035702,0.03074634267294818
4,1000.0,1,1.0765066445430655,9.628925429481884,True,4.884150164077702,76.88679919202438,0.6627149214311115,2.188231313279824,0.8119244991942316,True,1.1769096334851856,0.7381807417682019,0.12372773536895675
5,6000.0,1,1.5711469325737597,2.4244107590938553,True,1.5711609219314728,2.424461203488217,,,1.0,True,1.1121938188920837,0.6969851901201,0.023923444976076555
6,9000.0,1,1.8565737349415001,1.8809577140304987,True,7.179300628854139,4.78873645261445,0.8764787364264368,2.791506270201819,0.779363464832993,True,1.0858490228114825,0.6812573254293786,0.02611625947767481
7,12000.0,1,6.63266978683118,2.9440374672791205,True,75.92616060752422,25.3096646989406,1.5342943744125228,1.901144363837836,0.8589610755686511,True,1.0402648538318195,0.6257246899833045,0.008503679476696648
8,1000.0,2,1.6816983122235643,18.045093333966,True,9.739590891176281,149.49812778485634,0.7766686456851216,3.7387816470561583,0.8124283825818447,True,1.7322992935760697,0.8174657325132952,0.057149689143950265
9,6000.0,2,4.008127853731676,6.027135867445867,True,5.231729696698073,8.638186824495548,39.686162524224116,13.74127606131593,0.9455934261702155,True,1.9488500487829343,0.6975853807994221,0.004415011037527594
10,9000.0,2,4.213915942240506,3.6378709930507385,True,13.399416813249186,9.434200094436946,1.2917152342532137,2.504868331601836,0.8404193466716045,True,1.9263028781517,0.7455672526291132,0.004914004914004914
11,12000.0,2,18.63009211278439,7.141279554295947,True,152.04260650308453,51.086978969439755,3.3705485442221774,2.6535475377369533,0.8848136777722002,True,1.9047277703259156,0.6222220306688855,0.0021953896816684962
12,1000.0,3,2.01382066490424,22.082968279208906,True,14.050888443505457,207.16896964061095,0.8537791188937418,4.845899368451442,0.7926585165711834,True,2.2516168199500637,0.906203362087721,0.014367816091954023
13,6000.0,3,6.901420447434169,10.560148125735918,True,239.35475609525997,399.5359137431868,3.610073822166716,5.064221782856156,0.5317465286062337,True,2.7942925035178234,0.7194352012142817,0.0
14,9000.0,3,10.574613134484224,8.652410226797265,True,86.59028924016357,67.29175127277307,5.326195833063004,4.59706214895564,0.5333995671347119,True,2.83355449496169,0.7263545764079202,0.0
15,12000.0,3,40.71985151852354,14.566364724241655,True,227.5295825734015,77.01646423147287,4.492483147479766,2.627463816708784,0.9199404479186181,True,2.934024468417406,0.5982839637361697,0.0005367686527106817
