,alpha1,beta1,flag
0,0.652303408405242,2.632243087852742,0.0
1,0.7888697632221147,2.5629588547181146,0.0
2,0.8492956759344791,2.2679313766400298,0.0
3,0.9368046734041184,2.335004259392578,0.0
4,0.9618293628285512,1.9495209467527497,0.0
5,1.0061815478851925,1.9985473977686303,0.0
6,1.0328309801807103,1.7632063033509322,0.0
7,0.982603057275628,1.4315089956438913,0.0
8,1.0605116175897766,1.4070467503790107,0.0
9,1.022192350613113,1.3346510766048598,0.0
10,1.0406614331747739,1.2953761319119168,0.0
11,1.0069441593022703,1.2370094268008307,0.0
12,1.1108197683720842,1.2044539436178179,0.0
13,1.0571386422771873,1.111455622263338,0.0
14,1.074320271785837,1.1302748258633075,0.0
15,1.1614209424349609,1.135259210524782,0.0
16,1.240029711595985,1.1034893269398418,0.0
17,1.1911250070749702,1.0752822896468386,0.0
18,1.294991656555478,1.0593105054700125,0.0
19,1.605046253639101,1.098428441393546,0.0
20,1.8420252466239688,1.1544231852492999,0.0
21,2.332999541896732,1.2037708065077393,0.0
22,3.346579279758509,1.3806258399899471,0.0
23,4.092254100566685,1.4066628531273362,0.0
24,5.097813596519118,1.4248910572866642,0.0
25,5.1147716262816285,1.2273500077214428,0.0
26,0.8316416895245904,5.8668819958843805,0.0
27,0.8992381201231157,4.208341608452698,0.0
28,0.9284473619144533,3.326498061780492,0.0
29,0.9897635478629228,2.930412359451576,0.0
30,1.0372325062670622,2.78649641478577,0.0
31,1.1139484827519148,2.5587138568086676,0.0
32,1.1620200101060285,2.4009346512064247,0.0
33,1.1726187445466993,2.1729917164704773,0.0
34,1.2246646596547408,2.0231857356186005,0.0
35,1.2190881242351173,1.7948214302555414,0.0
36,1.2817659067424398,1.694775166545844,0.0
37,1.2777091161031024,1.6177747444298358,0.0
38,1.210530412976897,1.4735155734644414,0.0
39,1.2789237747800362,1.462268900512911,0.0
40,1.1302474974873342,1.2526875601380638,0.0
41,1.1709899728446596,1.215962798659751,0.0
42,1.568151654685988,1.3808955040936808,0.0
43,1.5723879329118036,1.301071078435415,0.0
44,1.8084488959947147,1.337601718992947,0.0
45,2.390411770444884,1.4805808643427993,0.0
46,2.867839949841956,1.535697282529309,0.0
47,3.9281478372992966,1.7437574462811203,0.0
48,4.586465477765812,1.7363163960453667,0.0
49,5.6710406321330264,1.786017164283786,0.0
50,7.106116930378263,1.811633510152211,0.0
51,5.015674125884519,1.2260297398204545,0.0
52,1.1014884932227968,9.605077830709025,0.0
53,1.1825162347011076,6.787889998472016,0.0
54,1.351231773163506,5.952345571549314,0.0
55,1.4753704547909878,5.146047908518389,0.0
56,1.5895835229300008,4.5554911881278235,0.0
57,1.642988304613644,4.062421231503205,0.0
58,1.7854552923725129,3.8700369881478425,0.0
59,1.978697941284229,3.769906352615327,0.0
60,2.0711706742267895,3.4690339515962885,0.0
61,2.106391004185554,3.207619477197131,0.0
62,2.238465239476201,3.0356710164638647,0.0
63,1.9920569161839516,2.5070850458504443,0.0
64,2.0178122900027917,2.368915162728224,0.0
65,1.9438470026309649,2.105591292980264,0.0
66,1.942596821337989,1.9349846009165788,0.0
67,2.36675648108892,1.999162599457951,0.0
68,2.702317095176467,2.0514761678183726,0.0
69,2.8121503138492217,2.010213798630777,0.0
70,3.266836137695077,2.0834689070176333,0.0
71,3.895106630298553,2.1892437420704987,0.0
72,5.393160815267054,2.5210318333116932,0.0
73,7.470402543794222,2.891222990011301,0.0
74,9.616441042457897,3.1346855299505294,0.0
75,9.585330472200443,2.6894217093785047,0.0
76,8.853467988018203,2.160346775206719,0.0
77,4.30898548992613,1.159893040305355,0.0
78,1.501075544570925,14.392981228077108,0.0
79,1.5309287213471245,9.53494246210473,0.0
80,1.7479339429152698,8.111686268572882,0.0
81,2.1855785318477494,8.64632335069955,0.0
82,2.1195144882713777,6.306411193390277,0.0
83,2.6374374878958546,6.90648472302207,0.0
84,2.9603126531185673,6.615447829020328,0.0
85,3.1567609767396623,6.343079557690746,0.0
86,3.094532420515395,5.279002936980197,0.0
87,3.724004413117033,5.806779593537911,0.0
88,3.594864878250247,4.968009090479823,0.0
89,4.336525225051898,5.4938401347482255,0.0
