,alpha1,beta1,alpha2,beta2,p,flag
0,0.4625033684947309,2.3949796523771494,0.6523025614738656,2.632273153434573,-0.5179041256728883,0.0
1,0.7176442503886578,1.3783813320566431,5.146478348165429,45.49059254271869,0.460514033250386,0.0
2,1.6748537769170897,8.970320748353432,6.236490881737026,2.6182149249904256,0.8265438948172616,0.0
3,9.306958366867894,44.25217391757343,0.7458905938972014,1.4851905117411333,0.3850769834241571,0.0
4,1.2234742308643163,3.7689722565274404,0.9618060356866844,1.9494792870804982,-0.3177647541343016,0.0
5,0.8137121436838706,1.4297994760765396,16.390006029654757,52.9183621420019,0.7032384998658701,0.0
6,0.3340248646435699,1.7258137948503183,1.1493367971627086,1.8760979606974229,0.03277706618499028,0.0
7,0.465100426903773,1.6154808359352835,1.2332213826409972,1.587457776737533,0.11114398195368944,0.0
8,1.4510734130525482,1.5741901946887609,0.6629134271751576,1.5988828818737297,0.7660499396151801,0.0
9,0.6693539603908623,1.7089285731585795,1.813087528561924,1.6514892201408857,0.3246498848042843,0.0
10,1.7483969679229747,1.7030254357879175,1.0465294589969791,26.551130641981256,0.9017777706506339,0.0
11,2.02064599252323,1.7745403270793974,1.045882406707772,20.620284438476745,0.8659702533636418,0.0
12,1.351251677054314,25.36972769708853,2.217640221615386,1.7307255741260674,0.12245173634396311,0.0
13,4.0292638326557455,2.123286370125732,0.688351044723452,1.8932468013328148,0.6436450601221646,0.0
14,4.600060086375211,2.2181393081888974,0.7780009637743579,1.8736852739162804,0.5758453545189073,0.0
15,5.2430987894148355,2.472829857657181,0.7629670620864879,2.0010276604276616,0.6446262940849031,0.0
16,0.8682290748250598,1.7170522982797611,7.043816896701414,2.7009831525175585,0.42554606080012036,0.0
17,7.457964955186861,2.89589785159916,0.7955903896377838,1.810207404542589,0.6131168611009693,0.0
18,9.369262433779301,3.4192040163449287,0.7505981546461636,1.716253055852281,0.6691613649432473,0.0
19,14.854416038134557,4.590026212349665,0.8604003504797811,1.625377299283672,0.6881324804223229,0.0
20,18.159187094616854,5.477758688426761,0.870001257755675,1.588503907212134,0.726264801765975,0.0
21,3.6766827287437707,2.117486298803745,2.3330314158438465,1.203760235570943,-0.17286626015086703,0.0
22,5.80576402892768,1.363120282356673,3.3465945425738686,1.3806226380534095,-0.5676070971264676,0.0
23,2.260445869999497,1.491728989391389,4.0922599939628,1.4066601029199506,-0.244838345077867,0.0
24,125.2691658405546,20.37264997118863,1.2649422188358712,1.139956376245343,0.8411057525922349,0.0
25,5.114774315774611,1.2273489022313344,5.802009360654704,0.9975219092273813,2.2426161842453647,0.0
26,0.4993782362217568,2.335829819941171,1.857931102962093e-05,1.4475941802686687e-06,1.000006258113483,0.0
27,5.138758155047659,47.71984024245561,0.6160581300523316,1.5756780119705658,0.6595870217746179,0.0
28,0.6315614408143051,1.5754074959639892,7.963019867917849,51.64856474822758,0.4589287296495667,0.0
29,1.6789687864803489,7.9951903537205204,7.992452683952298,3.2860890548058643,0.8809960193895867,0.0
30,0.3393288312751931,2.6739291799832565,1.037226588225106,2.786469301342186,-0.3171433411434823,0.0
31,0.6127947051642968,1.620062283558715,1.1139384517170008,2.5587301359775676,-0.17014919864624115,0.0
32,0.05566825038425868,4.218261919755957,1.162021097152778,2.4009049603281376,-1.1118931087760937,0.0
33,1.0780293506575571,3.4757596931065082,1.172593002357278,2.17295530015936,-1.0811327791554466,0.0
34,1.3516931382188715,3.417586142107883,1.2246306599449537,2.023180544657354,-0.38102560687338893,0.0
35,0.9659223260255716,1.3743450984487706,62.76995959582845,107.91048737354781,0.7491071026346824,0.0
36,1.1943723321944488,54.72318597863751,1.955731305892001,2.214793408309294,0.05703388795301198,0.0
37,2.140217542390755,2.2252152217292305,1.0502291222885276,30.53535084709603,0.9255226437365075,0.0
38,2.411681310497911,2.2251170123924835,0.8937783165880451,17.046454797386907,0.8945069058980566,0.0
39,1.517037207877286,1.834142534436709,1.2789017934442661,1.4622129120076999,-0.2645072669115246,0.0
40,0.6539620721985251,2.276108824542671,3.9349352567917246,2.4637853695089977,0.28402311420736054,0.0
41,5.562274620789861,3.0534003022638716,0.6522335346249393,2.3665418427362317,0.7247555090346984,0.0
42,1.917875873575636,1.6544466512214817,1.568197221362026,1.3809208202235264,-0.30329689876026866,0.0
43,8.900462743825438,3.8700141545273365,0.8511412453449674,1.904806090280181,0.6983700968884738,0.0
44,1.9751541155739178,1.929614476378421,1.808450297219642,1.3376293720203423,-0.2113124258468823,0.0
45,3.528937962280492,1.1328861258562608,2.3903893509700103,1.4805679729012426,-0.8134455067176629,0.0
46,7.1713717870112035,3.3303243844066577,2.8677832072218035,1.5356825987348044,-0.627051346334806,0.0
47,9.341646235224786,2.3501777454809067,3.928121387253837,1.7437487910870348,-1.3317555004411794,0.0
48,4.60027260443132,1.8677191876766357,4.5864742063126815,1.736323282515562,-0.5335643003557102,0.0
49,2.5647609920457537,0.03201173518471227,5.826303847383322,1.816639033470803,-1.1363589392906548,0.0
50,1.3214106738987084,1.1904503658351804,122.21533776267515,20.619858673603716,0.1286628002816625,0.0
51,1.075073522801274,0.9769146600426262,149.87740935025812,19.97181087095398,0.14416832141946767,0.0
52,0.3570919465145802,1.8890491531668228,1.1014927956555198,9.605146850172371,-4.904039428136635,0.0
53,6.406311149128244,60.59617325762987,0.6747388752331573,1.9063433516890806,0.7476969482025995,0.0
54,0.5911133150739729,2.508637790874958,1.3512323923072755,5.95239545352579,-0.2214346656735774,0.0
55,1.4753917474097484,5.146098939781947,1.4418085276894663,5.4582151763828755,1.03585095779858,0.0
56,1.259304807349488,2.3261261296949094,1.5895940527290318,4.555481937141799,-1.0490662084322868,0.0
57,0.34605811088781213,3.72591227278337,1.6429646721377802,4.062375226748841,-0.9120636074511846,0.0
58,2.003834193511991,10.64727387362503,1.7854505139712953,3.8700479120843005,-0.13950653901566773,0.0
59,1.2113152384140111,2.6407354527564593,1.978702932254599,3.7698786431321594,-0.44432046165551775,0.0
60,3.2499235219552514,4.8749383732100835,2.071159924364399,3.4690257139809666,-1.2017793641159398,0.0
61,0.9805673675201991,2.568764030704859,2.106397594765467,3.207637651823775,-1.287540946116268,0.0
62,3.1106208144388185,1.4988031901950367,2.2384987907751746,3.0356795200167923,-0.7869793385413903,0.0
63,1.4394184251811082,2.1932156258423117,1.992054365846907,2.5070980276969617,-0.3092170553191299,0.0
64,1.042921537026146,1.7659070417219753,2.017851713047233,2.368897441982839,-0.5860915877053041,0.0
65,1.2488885355029151,1.9652274142454909,1.9438276097524727,2.1056058283520835,-0.5225942457104926,0.0
66,2.1985577349185337,1.8486599100604206,1.9425562351131362,1.9349484494115128,-0.7930172179698871,0.0
67,1.74046251374382,1.0446896860478927,2.366772032576667,1.9991823872636072,-0.5801212362198107,0.0
68,3.340296338500804,1.4540899993770102,2.702272023242041,2.051456041210088,-0.49464635306046467,0.0
69,2.497745692716349,3.5795827276865415,2.812150715198766,2.010187860250932,-1.7055347870055715,0.0
70,2.105702875670315,2.205865814046281,3.2668651769020687,2.083489648479663,-1.396076230114668,0.0
71,5.000743119753848,2.0618209789289432,3.8951007639648028,2.1892323375533334,-1.0375315062286772,0.0
72,4.466259201364483,0.8557187047377599,5.393169805349088,2.52105035464073,-1.4229403477757332,0.0
73,4.831972444848519,0.091696942022111,7.470354859416544,2.891207080065768,-4.081041796907154,0.0
74,14.674524821828538,0.9698537184702514,9.61648370033081,3.134710297682016,-4.427591058116647,0.0
75,1.8274110975494937,1.5634760653715518,105.89765596135004,22.285072235443607,0.11812002701765277,0.0
76,1.7166347854563155,1.3417395343507774,142.15773569342844,24.29306820674354,0.12643532465311763,0.0
77,1.0927430752663507,1.0113110183258538,155.4655810240963,21.446481532370083,0.17043317650899692,0.0
78,0.5116889892997758,2.8339278801486785,0.0004726346151612221,5.6797338027959404e-08,0.9999999724304518,0.0
79,1.0684449446883746,10.369277464756493,1.530935844072608,9.534980510143612,-2.1049300863350555,0.0
80,1.747937389936956,8.1117208001072,1.261223894953881,13.668957776070194,4.474430280537582,0.0
81,1.9643775823738299,1.383242394312754,2.185561277968839,8.646336495147347,-0.491702115113089,0.0
